City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vorgashor,67.5833,63.95,6.07,99,99,4.72,RU,1727406119
1,baise city,23.8997,106.6133,30.19,99,69,1.45,CN,1727406120
2,port-aux-francais,-49.35,70.2167,3.99,82,100,17.0,TF,1727406122
3,colonia,50.9333,6.95,14.42,73,0,3.6,DE,1727406008
4,grytviken,-54.2811,-36.5092,-1.37,76,59,8.13,GS,1727406124
5,saint joseph,39.7686,-94.8466,16.79,80,0,1.78,US,1727406022
6,ushuaia,-54.8,-68.3,4.81,81,75,11.32,AR,1727405856
7,yellowknife,62.456,-114.3525,8.29,92,75,2.57,CA,1727406080
8,waitangi,-43.9535,-176.5597,9.34,87,98,4.02,NZ,1727406128
9,invercargill,-46.4,168.35,6.68,92,100,3.13,NZ,1727406129
10,keflavik,64.0049,-22.5624,6.24,81,75,1.54,IS,1727406075
11,edinburgh of the seven seas,-37.0676,-12.3116,12.14,91,100,4.25,SH,1727406133
12,thompson,55.7435,-97.8558,21.09,64,75,3.09,CA,1727406134
13,puerto natales,-51.7236,-72.4875,5.2,92,100,5.25,CL,1727406135
14,mili,6.0815,171.735,28.99,73,11,4.3,MH,1727406136
15,wuhai,39.6647,106.8122,23.19,51,7,10.44,CN,1727406137
16,utrik,11.2278,169.8474,28.74,76,100,6.0,MH,1727406139
17,jamestown,42.097,-79.2353,17.8,84,0,3.6,US,1727406140
18,galliano,29.4422,-90.2992,23.0,64,0,4.12,US,1727406141
19,mejit,10.2753,170.8646,28.55,76,71,5.27,MH,1727405969
20,tazovsky,67.4667,78.7,-0.36,83,100,5.14,RU,1727406143
21,adamstown,-25.066,-130.1015,21.52,89,86,4.12,PN,1727406145
22,papatowai,-46.5619,169.4708,7.06,87,95,7.01,NZ,1727406146
23,tiksi,71.6872,128.8694,0.95,100,100,5.43,RU,1727406148
24,tolanaro,-25.0319,46.9987,22.04,94,20,1.03,MG,1727406149
25,petropavlovsk-kamchatsky,53.0452,158.6483,15.33,44,0,6.0,RU,1727406150
26,bethel,41.3712,-73.414,21.68,89,100,0.45,US,1727406151
27,vadso,70.0744,29.7487,6.09,93,75,4.12,NO,1727406058
28,ponta delgada,37.7333,-25.6667,21.4,78,20,1.54,PT,1727406153
29,enewetak,11.3474,162.3373,28.89,75,21,5.36,MH,1727406154
30,boende,-0.2167,20.8667,21.14,96,96,0.94,CD,1727406155
31,puerto baquerizo moreno,-0.9,-89.6,20.03,88,97,5.11,EC,1727406047
32,punta arenas,-53.15,-70.9167,5.06,87,75,11.32,CL,1727406157
33,tokar,18.4254,37.729,27.69,76,15,1.48,SD,1727406159
34,akrehamn,59.2667,5.1833,8.14,81,45,4.12,NO,1727406160
35,margaret river,-33.95,115.0667,13.68,65,61,7.07,AU,1727406161
36,bilibino,68.0546,166.4372,-2.16,74,99,1.04,RU,1727406162
37,iskateley,67.6803,53.1512,11.28,91,91,7.75,RU,1727406164
38,isafjordur,66.0755,-23.124,1.64,98,100,2.64,IS,1727406165
39,kapa'a,22.0752,-159.319,27.28,68,98,2.24,US,1727406166
